timestamp_ms,track_id,class,x_min,y_min,x_max,y_max
16750.06666666667,3,car,2246,1838,3483,2146
16750.06666666667,265,person,503,1068,620,1417
16750.06666666667,297,person,304,1090,434,1422
16750.06666666667,350,person,807,1230,910,1600
16750.06666666667,71,person,3772,1107,3838,1491
16750.06666666667,372,person,164,1139,303,1444
16750.06666666667,362,car,725,1036,1239,1253
16750.06666666667,379,person,425,1075,509,1334
16750.06666666667,179,car,2063,1036,2220,1157
16750.06666666667,333,person,3675,1130,3782,1411
16750.06666666667,277,person,3473,1160,3576,1399
16750.06666666667,387,person,2634,1052,2696,1189
16750.06666666667,388,person,715,1226,827,1720
16783.433333333334,3,car,2244,1840,3483,2146
16783.433333333334,265,person,503,1072,620,1415
16783.433333333334,297,person,308,1089,437,1421
16783.433333333334,350,person,810,1233,909,1601
16783.433333333334,71,person,3772,1103,3838,1490
16783.433333333334,372,person,186,1140,306,1445
16783.433333333334,362,truck,725,1035,1185,1252
16783.433333333334,179,car,2062,1037,2220,1157
16783.433333333334,333,person,3675,1125,3781,1411
16783.433333333334,277,person,3473,1159,3578,1399
16783.433333333334,387,person,2633,1053,2694,1189
16783.433333333334,388,person,715,1232,829,1719
16783.433333333334,344,person,3070,1092,3122,1234
16783.433333333334,374,motorcycle,3162,1233,3328,1489
16816.8,3,car,2243,1839,3484,2146
16816.8,265,person,504,1077,618,1414
16816.8,297,person,321,1085,438,1415
16816.8,350,person,811,1233,909,1601
16816.8,71,person,3772,1103,3838,1489
16816.8,372,person,200,1141,309,1444
16816.8,362,truck,726,1030,1143,1253
16816.8,179,car,2061,1035,2221,1158
16816.8,333,person,3674,1126,3781,1412
16816.8,277,person,3473,1156,3582,1399
16816.8,388,person,714,1238,833,1718
16816.8,374,motorcycle,3162,1238,3325,1492
16850.166666666668,3,car,2241,1838,3483,2146
16850.166666666668,265,person,505,1079,616,1414
16850.166666666668,297,person,327,1084,442,1411
16850.166666666668,350,person,811,1235,912,1600
16850.166666666668,71,person,3772,1102,3838,1489
16850.166666666668,372,person,211,1143,314,1445
16850.166666666668,362,truck,729,1031,1084,1253
16850.166666666668,179,car,2057,1034,2221,1158
16850.166666666668,333,person,3675,1135,3779,1411
16850.166666666668,277,person,3473,1160,3582,1398
16850.166666666668,388,person,715,1244,837,1714
16850.166666666668,374,motorcycle,3163,1242,3338,1500
16850.166666666668,363,car,1935,989,2056,1087
16883.533333333333,3,car,2240,1839,3482,2146
16883.533333333333,297,person,330,1081,443,1408
16883.533333333333,350,person,812,1238,912,1599
16883.533333333333,71,person,3772,1104,3838,1490
16883.533333333333,372,person,217,1145,318,1449
16883.533333333333,362,truck,725,1028,1027,1250
16883.533333333333,179,car,2053,1034,2222,1158
16883.533333333333,333,person,3675,1126,3781,1412
16883.533333333333,277,person,3476,1163,3582,1399
16883.533333333333,388,person,717,1239,843,1697
16883.533333333333,374,motorcycle,3159,1238,3348,1503
16883.533333333333,363,car,1934,988,2055,1087
16883.533333333333,285,person,2688,1310,2827,1706
16883.533333333333,344,person,3070,1092,3122,1234
16916.9,3,car,2239,1841,3480,2147
16916.9,297,person,331,1080,447,1406
16916.9,350,person,812,1233,911,1598
16916.9,71,person,3771,1108,3838,1491
16916.9,372,person,221,1144,324,1451
16916.9,179,car,2052,1034,2222,1158
16916.9,333,person,3675,1125,3781,1412
16916.9,277,person,3473,1159,3582,1398
16916.9,388,person,718,1242,845,1707
16916.9,374,motorcycle,3159,1249,3357,1509
16916.9,363,car,1935,988,2054,1086
16916.9,285,person,2688,1310,2828,1705
16950.266666666666,3,car,2237,1839,3478,2144
16950.266666666666,297,person,333,1083,448,1404
16950.266666666666,350,person,796,1232,908,1607
16950.266666666666,71,person,3770,1106,3838,1491
16950.266666666666,372,person,223,1145,330,1452
16950.266666666666,179,car,2052,1033,2223,1158
16950.266666666666,333,person,3675,1125,3783,1413
16950.266666666666,277,person,3472,1162,3583,1400
16950.266666666666,388,person,719,1226,876,1705
16950.266666666666,374,motorcycle,3166,1255,3364,1513
16950.266666666666,363,car,1935,988,2054,1086
16950.266666666666,285,person,2688,1309,2828,1705
16950.266666666666,265,person,503,1075,617,1409
16983.633333333335,3,car,2237,1839,3477,2146
16983.633333333335,297,person,340,1094,450,1404
16983.633333333335,71,person,3770,1111,3838,1491
16983.633333333335,372,person,223,1134,345,1457
16983.633333333335,179,car,2051,1032,2223,1159
16983.633333333335,333,person,3675,1129,3784,1413
16983.633333333335,277,person,3470,1166,3583,1399
16983.633333333335,388,person,722,1223,895,1703
